DATE_TIME,DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,MODULE_TEMP_F,IRRADIATION,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
5-15-20 0:00,5/15/2020 00:00,4136001,iq8k7ZNt4Mwm3w0,27.0047637,25.0607889,77.10942002,0,86 °F,79 °F,79 %,NNE,5 mph,0 mph,29.70 in,0.0 in,Haze
5-15-20 0:15,5/15/2020 00:15,4136001,iq8k7ZNt4Mwm3w0,26.88081143,24.42186883,75.9593639,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5-15-20 0:30,5/15/2020 00:30,4136001,iq8k7ZNt4Mwm3w0,26.68205534,24.42729031,75.96912256,0,86 °F,77 °F,74 %,N,5 mph,0 mph,29.70 in,0.0 in,Haze
5-15-20 0:45,5/15/2020 00:45,4136001,iq8k7ZNt4Mwm3w0,26.5005889,24.4206776,75.95721968,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5-15-20 1:00,5/15/2020 01:00,4136001,iq8k7ZNt4Mwm3w0,26.596148,25.08821041,77.15877874,0,86 °F,77 °F,74 %,NNW,6 mph,0 mph,29.70 in,0.0 in,Haze
5-15-20 1:15,5/15/2020 01:15,4136001,iq8k7ZNt4Mwm3w0,26.51274003,25.31796967,77.5723454,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5-15-20 1:30,5/15/2020 01:30,4136001,iq8k7ZNt4Mwm3w0,26.49433897,25.21719253,77.39094656,0,86 °F,77 °F,74 %,NNW,6 mph,0 mph,29.70 in,0.0 in,Haze
5-15-20 1:45,5/15/2020 01:45,4136001,iq8k7ZNt4Mwm3w0,26.42041021,25.06506231,77.11711216,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5-15-20 2:00,5/15/2020 02:00,4136001,iq8k7ZNt4Mwm3w0,26.40194613,24.69146937,76.44464486,0,86 °F,77 °F,74 %,N,6 mph,0 mph,29.73 in,0.0 in,Haze
5-15-20 2:15,5/15/2020 02:15,4136001,iq8k7ZNt4Mwm3w0,26.22607821,24.55948079,76.20706543,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5-15-20 2:30,5/15/2020 02:30,4136001,iq8k7ZNt4Mwm3w0,26.2603992,24.48240663,76.06833194,0,88 °F,77 °F,70 %,NNW,5 mph,0 mph,29.73 in,0.0 in,Haze
5-15-20 2:45,5/15/2020 02:45,4136001,iq8k7ZNt4Mwm3w0,26.2978261,24.4886982,76.07965676,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5-15-20 3:00,5/15/2020 03:00,4136001,iq8k7ZNt4Mwm3w0,26.3282491,24.50628962,76.11132132,0,90 °F,75 °F,62 %,NNW,5 mph,0 mph,29.73 in,0.0 in,Haze
5-15-20 3:15,5/15/2020 03:15,4136001,iq8k7ZNt4Mwm3w0,26.15870973,24.59519743,76.27135538,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5-15-20 3:30,5/15/2020 03:30,4136001,iq8k7ZNt4Mwm3w0,26.07849933,24.80131437,76.64236586,0,91 °F,75 °F,59 %,VAR,3 mph,0 mph,29.73 in,0.0 in,Haze
